TX State Mass Comm,txstatemcweek,Fri Oct 24 16:27:41 +0000 2014,"RT @RebeccaAguilar: @txstatemcweek You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http:/…"
Charlotte Singleton,noodle1116,Fri Oct 24 15:47:20 +0000 2014,"RT @RebeccaAguilar: Journalism is in good hands. I know, I was at @txst #mcweek &amp; met many awesome students. #inspired"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 13:54:23 +0000 2014,"Journalism is in good hands. I know, I was at @txst #mcweek &amp; met many awesome students. #inspired"
Chelsea CC Lorraine,shesCCLORRAINE,Fri Oct 24 05:28:10 +0000 2014,"RT @RebeccaAguilar: @shesCCLORRAINE You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http:…"
dalia yazmin,dalyazmor,Fri Oct 24 04:44:04 +0000 2014,"RT @RebeccaAguilar: @dalyazmor You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.c…"
Carson Deer,mrcardeer,Fri Oct 24 03:13:29 +0000 2014,"Patch bought by aol for journalism, Chans first journalism project #mcweek #FDOM14"
Christopher Salinas,IAmSalinas,Fri Oct 24 02:58:27 +0000 2014,"RT @RebeccaAguilar: @IAmSalinas You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.…"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 02:56:05 +0000 2014,"@devansheaflores You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 02:56:05 +0000 2014,"@sjmctxst You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 02:55:43 +0000 2014,"@Dyhanara @AHJ_TXST You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 02:55:43 +0000 2014,"@Brenda12Noemi You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 02:55:43 +0000 2014,"@alyssabackhus You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 02:55:43 +0000 2014,"@bring_awareness You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 02:55:42 +0000 2014,"@brie_east You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 02:55:42 +0000 2014,"@dalyazmor You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 02:55:42 +0000 2014,"@iampriscillia_s You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 02:55:42 +0000 2014,"@IAmSalinas You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 02:55:42 +0000 2014,"@txstatemcweek You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
EncodeThis,EncodeThis,Fri Oct 24 02:46:58 +0000 2014,"RT @aislingclare27: I love seeing so many tweets about #digitalmedia, #journalism and #mcweek. I'm feeling confident I've chosen the right …"
Aisling Clare,aislingclare27,Fri Oct 24 02:43:13 +0000 2014,"I love seeing so many tweets about #digitalmedia, #journalism and #mcweek. I'm feeling confident I've chosen the right path."
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 01:43:59 +0000 2014,"@shesCCLORRAINE You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 01:43:59 +0000 2014,"@jonzmikly You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 01:43:59 +0000 2014,"@PRGirlPaige You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 01:43:59 +0000 2014,"@alannette3 You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 01:43:59 +0000 2014,"@jaycee_991 You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 01:43:59 +0000 2014,"@GregGonewild You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 01:43:59 +0000 2014,"@ShelbyCrossland You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 01:43:59 +0000 2014,"@avery49er You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 01:43:59 +0000 2014,"@brookeshoe You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 01:43:59 +0000 2014,"@gcapwell You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Rebecca Aguilar,RebeccaAguilar,Fri Oct 24 01:43:03 +0000 2014,"@kymfox You've been quoted in my #Storify story "Rebecca Aguilar's tips to succeed in journalism #mcweek" http://t.co/KFPA40baBZ"
Wesley Willis,WvWillis,Fri Oct 24 00:40:17 +0000 2014,"#FDOM14 class confirmed that mass comm/journalism isn't dying...it's just changing!! #mcweek 💜✏️📓📰🎥"
Ashley Robertson,ashleynrobertso,Fri Oct 24 00:36:10 +0000 2014,"RT @CindyRoyal: Journalism isn't dying, it's just changing - @annie_werner #mcweek"
CJ Bass,clintjbass,Fri Oct 24 00:07:24 +0000 2014,"Beth Clark, director of #mcweek, told me she's confident that #mcweek will gain much recognition to students and the journalism dept #mc1313"
Holly Wise,holly_wise,Thu Oct 23 19:37:51 +0000 2014,"RT @ImaniMcg: .@jaxstone on the rough parts of journalism: "This isn't for everyone. There are some things that stick with you." #mcweek"
Maggie,maggieemariee,Thu Oct 23 18:42:22 +0000 2014,"RT @ImaniMcg: .@jaxstone on the rough parts of journalism: "This isn't for everyone. There are some things that stick with you." #mcweek"
Forrest Milburn,forrestmilburn,Thu Oct 23 18:26:37 +0000 2014,"RT @ImaniMcg: .@jaxstone on the rough parts of journalism: "This isn't for everyone. There are some things that stick with you." #mcweek"
The University Star,UniversityStar,Thu Oct 23 18:23:15 +0000 2014,"RT @ImaniMcg: .@jaxstone on the rough parts of journalism: "This isn't for everyone. There are some things that stick with you." #mcweek"
Imani McGarrell,ImaniMcg,Thu Oct 23 18:22:09 +0000 2014,".@jaxstone on the rough parts of journalism: "This isn't for everyone. There are some things that stick with you." #mcweek"
Leon Hitchens,Leonhitchens,Thu Oct 23 00:10:37 +0000 2014,"RT @CindyRoyal: Journalism isn't dying, it's just changing - @annie_werner #mcweek"
Charlotte Singleton,noodle1116,Wed Oct 22 23:44:26 +0000 2014,"RT @CindyRoyal: Journalism not dying, especially if it is journalism/tech. People are always going to need to know what is going on - @anni…"
Angelica Maldonado,AngieMWorld,Wed Oct 22 23:43:30 +0000 2014,"RT @CindyRoyal: Journalism isn't dying, it's just changing - @annie_werner #mcweek"
Aisling Clare,aislingclare27,Wed Oct 22 23:24:31 +0000 2014,"RT @CindyRoyal: Journalism not dying, especially if it is journalism/tech. People are always going to need to know what is going on - @anni…"
Molly Stier,MollyStier,Wed Oct 22 23:02:07 +0000 2014,"RT @brenduhleann: "journalism is not dying- it's changing"  - managing editor for tumblr, @annie_werner #FDOM #mcweek"
bren✨,brenduhleann,Wed Oct 22 22:55:49 +0000 2014,""journalism is not dying- it's changing"  - managing editor for tumblr, @annie_werner #FDOM #mcweek"
Cindy Reves, CJE,CindyReves,Wed Oct 22 22:22:59 +0000 2014,"RT @CindyRoyal: Journalism not dying, especially if it is journalism/tech. People are always going to need to know what is going on - @anni…"
Cameron Wolfe,CamJustDoIt15,Wed Oct 22 22:05:38 +0000 2014,"RT @kakicakes: "Journalism is not dying. That's a myth. People are always going to want to know what is going on in the world." -@annie_wer…"
Liann,LiannShannon,Wed Oct 22 21:47:48 +0000 2014,"“@CindyRoyal: Journalism isn't dying, it's just changing - @annie_werner #mcweek” TRUTH. 📺------&gt;💻"
Kakiiiii❤️,kakicakes,Wed Oct 22 21:43:49 +0000 2014,""Journalism is not dying. That's a myth. People are always going to want to know what is going on in the world." -@annie_werner #mcweek"
Delaine Dommel,ddommel19,Wed Oct 22 21:42:26 +0000 2014,""Journalism isn't dying it is just changing," said @annie_werner during Texas State Mass Comm week. #mcweek"
Reina Monroy,reinamonroy5,Wed Oct 22 21:39:53 +0000 2014,""Journalism is not dying, that is a myth. It's only changing" - @annie_werner #FDOM14  #mcweek #DAMNRIGHT #lovemymajor"
Hillary,Hillary_Ashlyn,Wed Oct 22 21:38:31 +0000 2014,"@annie_werner on journalism: "Journalism isn't dying, it's changing." #mcweek"
Lisa Callahan,lrcall,Wed Oct 22 21:38:19 +0000 2014,""Journalism is not dying. People will always want to know what's going on in the world." @annie_werner #mcweek"
bren,bbrengutierrez,Wed Oct 22 21:38:15 +0000 2014,"RT @CindyRoyal: Journalism isn't dying, it's just changing - @annie_werner #mcweek"
Lisa Callahan,lrcall,Wed Oct 22 21:38:02 +0000 2014,""Journalism is a weird word. Content is what it is now."  @annie_werner #mcweek"
Betsy Farmer,betsyjfarmer,Wed Oct 22 21:37:59 +0000 2014,"#wisewordswednesday from @annie_werner "journalism and tech together is a force to be reckoned with" #mcweek #webpub"
Kolten Parker,KoltenParker,Wed Oct 22 21:37:53 +0000 2014,"RT @CindyRoyal: Journalism isn't dying, it's just changing - @annie_werner #mcweek"
